kode_kab,nama_resmi,MMI,SP2020_neto_norm,neto_LP,masuk_LP,keluar_LP,MPI_raw,MPI,rank_MPI,short,lon,lat,ipm,gini,tpt,tpak,miskin,pdrb_kapita,pdrb_adhk,tenaker_se2016,usaha_se2016,growth_pdrb,pop_est,net_rate_permil,in_rate_permil,out_rate_permil,lisa_q_raw,lisa_p_raw,lisa_I_raw,lisa_q_rate,lisa_p_rate,lisa_I_rate,pop_sp2020,net_rate,in_rate,out_rate,net_rate_norm,rank_raw,rank_rate,rank_diff
3526,Kabupaten Bangkalan,11.37,10.59,-198843,38549,237392,11.37,11.37,21,Bangkalan,116.91,-6.97,66.11666666666666,0.3026666666666666,7.433333333333334,71.33666666666666,20.12,25271.2,17062.050000000003,221310,106262,1.204606159234425,675157887.2392288,-0.2945133334857183,0.0570962744101675,0.3516096078958858,3,0.292,0.2188851031877652,3,0.283,0.2290114701442259,975699,-203.79543281278345,39.509110904080046,243.3045437168635,14.420254834875484,33,34,-1
3525,Kabupaten Gresik,10.73,53.47,146388,277375,130987,10.73,10.73,22,Gresik,112.65,-7.16,77.68,0.3353333333333333,7.553333333333334,69.28333333333335,11.48,126588.55,111311.15,516229,130362,4.621914778821823,879314519.3621382,0.1664796802243081,0.3154445808551075,0.1489649006307993,1,0.011,1.6022799117863902,1,0.025,1.1220882009644977,1309615,111.77941608793424,211.79888745929148,100.01947137135724,76.63431823379331,2,7,-5
3502,Kabupaten Ponorogo,9.6,13.04,-179117,67761,246878,9.6,9.6,23,Ponorogo,111.47,-7.87,72.52666666666667,0.3486666666666667,4.8500000000000005,73.81,9.703333333333331,25204.1,15481.9,240456,98230,5.143867971405286,614261171.793478,-0.2915974641161614,0.1103130119752743,0.4019104760914358,3,0.176,0.2780609112786676,3,0.034,0.7297445558514267,860995,-208.0348898657948,78.70080546344636,286.73569532924114,13.584466270635318,29,35,-6
3504,Kabupaten Tulungagung,8.64,17.32,-144615,81284,225899,8.64,8.64,24,Tulungagung,111.9,-8.07,74.02666666666667,0.3323333333333333,5.736666666666667,72.97000000000001,6.916666666666667,41682.8,29526.75,341540,133796,4.912401236688413,708367720.0188087,-0.2041524421753156,0.1147483117918497,0.3189007539671653,3,0.232,0.1628843507493174,3,0.235,0.1729064820393246,1053763,-137.23674108884066,77.13688941441292,214.3736305032536,27.54198072997417,24,25,-1
3501,Kabupaten Pacitan,8.32,15.9,-156076,28734,184810,8.32,8.32,25,Pacitan,111.1,-8.2,70.19333333333333,0.3423333333333334,2.5066666666666664,81.73333333333333,14.186666666666667,31887.95,11983.7,184349,77654,4.458131440660619,375806535.0704577,-0.4153094356667806,0.0764595538356267,0.4917689895024074,3,0.198,0.2092432364237166,3,0.042,1.0555842063396,580431,-268.8967336341443,49.50459227711821,318.40132591126246,1.5858465454924615,26,37,-11
3575,Kota Pasuruan,8.08,38.57,26414,46087,19673,8.08,8.08,26,Kota Pasuruan,112.91,-7.65,77.61333333333333,0.3626666666666667,6.016666666666667,71.78666666666666,6.616666666666667,46180.15,6459.75,82255,31459,5.645931491149891,139881529.18515855,0.1888312213475753,0.3294716626881845,0.1406404413406091,1,0.004,0.8170785315811456,1,0.014,1.3401308306267694,208890,126.4493273971947,220.62808176552247,94.17875436832784,79.52642067931477,6,6,0
3511,Kabupaten Bondowoso,7.78,33.55,-13975,32744,46719,7.78,7.78,27,Bondowoso,113.82,-7.92,69.90333333333332,0.3496666666666666,4.3100000000000005,74.29666666666667,13.84666666666667,30324.35,14742.9,295220,107454,4.617562559853434,486173652.5267648,-0.0287448732101553,0.0673504206363741,0.0960952938465295,4,0.307,-0.0896944074607346,1,0.402,0.0261917709526712,779982,-17.91708013774677,41.98045595924008,59.89753609698685,51.06527790339429,15,15,0
3574,Kota Probolinggo,7.5,37.96,21555,37898,16343,7.5,7.5,28,Kota Probolinggo,113.21,-7.75,76.07000000000001,0.3226666666666666,5.216666666666668,69.57,6.8566666666666665,55403.0,9140.65,109523,33149,6.037552970877297,164984748.11833292,0.1306484402093943,0.2297060815149907,0.0990576413055964,1,0.021,0.6056770759632563,1,0.027,0.9109998408331784,236428,91.16940463904444,160.29404300675046,69.12463836770603,72.5711536203895,8,8,0
3517,Kabupaten Jombang,7.09,21.47,-111237,145955,257192,7.09,7.09,29,Jombang,112.24,-7.55,74.64,0.327,5.739999999999999,69.75,9.396666666666668,35641.5,30844.5,413158,159244,5.040849293031351,865409704.9787467,-0.1285368067402616,0.1686542214171084,0.29719102815737,3,0.468,0.0258833121333303,2,0.335,-0.0404174792974892,1310278,-84.89572441878747,111.39239153828424,196.2881159570717,37.86076038183096,21,22,-1
3524,Kabupaten Lamongan,6.32,12.69,-181883,93966,275849,6.32,6.32,30,Lamongan,112.41,-7.12,74.69666666666667,0.2866666666666666,5.47,71.69999999999999,12.936666666666667,34562.149999999994,30078.300000000003,388783,130506,4.284928380773851,870267040.6788932,-0.2089967693802508,0.1079737547301542,0.316970524110405,2,0.001,-1.2343226147008437,2,0.001,-0.8138819814950797,1253233,-145.1310330960005,74.97887463863464,220.1099077346352,25.98565903598034,30,26,4
